epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,236.88,1.18807,1.59913,1.33202,0.80221,0.53915,0.61342,0.37861,1.54053,2.05946,1.46123,6.5e-05,6.5e-05,6.5e-05
42,242.303,1.15977,1.54098,1.32296,0.71211,0.56014,0.61509,0.39344,1.48997,2.04002,1.42567,6.09825e-05,6.09825e-05,6.09825e-05
43,247.798,1.16749,1.53038,1.31157,0.79747,0.53443,0.6116,0.38691,1.54209,2.04643,1.45635,5.70993e-05,5.70993e-05,5.70993e-05
44,253.275,1.16708,1.54988,1.32153,0.72377,0.57732,0.61462,0.3779,1.53571,2.02347,1.45171,5.33612e-05,5.33612e-05,5.33612e-05
45,258.746,1.19205,1.59728,1.32807,0.7385,0.55774,0.61184,0.38147,1.51748,2.04617,1.4353,4.97782e-05,4.97782e-05,4.97782e-05
46,264.179,1.17058,1.52848,1.31956,0.73226,0.56584,0.61188,0.38587,1.52956,2.04849,1.44203,4.63604e-05,4.63604e-05,4.63604e-05
47,269.612,1.16848,1.5342,1.32059,0.84009,0.50945,0.61383,0.3903,1.48251,2.04336,1.41021,4.3117e-05,4.3117e-05,4.3117e-05
48,275.094,1.16848,1.53677,1.31732,0.77201,0.53506,0.61221,0.38093,1.52009,2.06089,1.43159,4.00569e-05,4.00569e-05,4.00569e-05
49,280.609,1.18277,1.51454,1.32526,0.7484,0.54174,0.60856,0.37979,1.53256,2.08072,1.44215,3.71885e-05,3.71885e-05,3.71885e-05
50,286.061,1.16654,1.49801,1.30861,0.75116,0.53725,0.60805,0.38545,1.49488,2.07668,1.42535,3.45196e-05,3.45196e-05,3.45196e-05
51,291.546,1.18526,1.5549,1.31564,0.75929,0.5516,0.6106,0.39088,1.47241,2.05696,1.41563,3.20577e-05,3.20577e-05,3.20577e-05
52,297.009,1.14338,1.54586,1.30785,0.82978,0.53324,0.61456,0.38569,1.50724,2.05095,1.42858,2.98094e-05,2.98094e-05,2.98094e-05
53,309.162,1.06447,1.26734,1.21836,0.8076,0.5345,0.60777,0.38288,1.52772,2.06043,1.43706,2.77809e-05,2.77809e-05,2.77809e-05
54,314.527,1.06809,1.31337,1.22348,0.79717,0.52758,0.6048,0.3827,1.52274,2.06187,1.44325,2.59778e-05,2.59778e-05,2.59778e-05
55,319.843,1.05463,1.25632,1.22176,0.81496,0.5413,0.61038,0.38858,1.51293,2.04124,1.43297,2.44049e-05,2.44049e-05,2.44049e-05
56,325.245,1.05597,1.25039,1.21343,0.84288,0.52562,0.61075,0.38455,1.50464,2.04772,1.42969,2.30667e-05,2.30667e-05,2.30667e-05
57,330.612,1.07039,1.25014,1.2271,0.84452,0.52409,0.60759,0.3847,1.4879,2.0537,1.41967,2.19667e-05,2.19667e-05,2.19667e-05
58,335.942,1.02995,1.24938,1.21145,0.82865,0.52768,0.60991,0.38219,1.51407,2.06885,1.43813,2.1108e-05,2.1108e-05,2.1108e-05
59,341.326,1.05159,1.26573,1.22161,0.81633,0.52426,0.60845,0.37769,1.53734,2.08492,1.45105,2.0493e-05,2.0493e-05,2.0493e-05
60,346.695,1.03511,1.23636,1.20817,0.80487,0.53633,0.61293,0.38446,1.49628,2.03242,1.42024,2.01233e-05,2.01233e-05,2.01233e-05
