epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.82217,0.94888,4.40079,1.30977,0,0,0,0,0.87577,4.64716,1.19815,0.000524796,0.000524796,0.000524796
2,11.9305,1.18256,3.37382,1.49249,0.61905,0.16988,0.13899,0.08665,1.47189,4.29929,1.92041,0.00106264,0.00106264,0.00106264
3,13.9552,1.37972,2.3363,1.63388,0.59959,0.18966,0.25736,0.08558,2.01684,3.27344,3.14577,0.00158214,0.00158214,0.00158214
4,16.0406,1.42578,2.0461,1.66209,0.47662,0.30307,0.16411,0.05956,2.03241,3.81369,2.7826,0.00158448,0.00158448,0.00158448
5,18.1089,1.36225,1.92386,1.63279,0.21452,0.28996,0.1699,0.06401,2.07997,2.9199,2.56817,0.00155698,0.00155698,0.00155698
6,20.1987,1.34416,1.85113,1.57015,0.17533,0.47278,0.20962,0.07595,2.07473,3.94774,2.62957,0.00152947,0.00152947,0.00152947
7,22.2657,1.27147,1.76071,1.55737,0.27766,0.37973,0.2507,0.12871,1.53967,2.93154,2.0265,0.00150197,0.00150197,0.00150197
8,24.3652,1.25557,1.65912,1.51199,0.45554,0.3305,0.30789,0.16541,1.61669,3.08828,1.96069,0.00147446,0.00147446,0.00147446
9,26.5179,1.27602,1.57918,1.52936,0.36222,0.3749,0.29158,0.15276,1.55692,3.21415,1.88657,0.00144696,0.00144696,0.00144696
10,28.597,1.17389,1.51247,1.4656,0.41772,0.3516,0.27695,0.12231,1.80163,3.22127,2.16372,0.00141945,0.00141945,0.00141945
11,30.7214,1.20325,1.49814,1.45036,0.70775,0.29372,0.37387,0.19051,1.79356,2.73944,2.13509,0.00139195,0.00139195,0.00139195
12,32.8003,1.09178,1.47187,1.37912,0.53548,0.34479,0.38035,0.21396,1.67903,2.29208,1.89253,0.00136444,0.00136444,0.00136444
13,34.8872,1.07933,1.39415,1.36172,0.55119,0.46554,0.4471,0.23928,1.6451,2.08982,2.0488,0.00133693,0.00133693,0.00133693
14,37.0008,1.08492,1.33342,1.37653,0.747,0.58532,0.61802,0.3646,1.41344,1.76372,1.8099,0.00130943,0.00130943,0.00130943
15,39.1117,1.00305,1.27594,1.3523,0.71553,0.60657,0.61257,0.39152,1.24763,1.78848,1.62805,0.00128192,0.00128192,0.00128192
16,41.219,1.02561,1.30021,1.32467,0.59021,0.46496,0.50611,0.29096,1.50702,2.04214,1.79106,0.00125442,0.00125442,0.00125442
17,43.3019,1.09241,1.23625,1.35728,0.64626,0.56641,0.57148,0.32696,1.47805,1.82679,1.68847,0.00122691,0.00122691,0.00122691
18,45.3929,1.05142,1.28446,1.33636,0.69228,0.49245,0.5682,0.35089,1.37542,1.75758,1.61849,0.00119941,0.00119941,0.00119941
19,47.5132,0.96206,1.1812,1.27618,0.69935,0.57278,0.60809,0.41316,1.33021,1.6866,1.59951,0.0011719,0.0011719,0.0011719
20,49.6462,0.92155,1.14332,1.26979,0.73231,0.55849,0.62161,0.39178,1.21246,1.64164,1.51796,0.0011444,0.0011444,0.0011444
21,51.7618,0.9125,1.17729,1.25411,0.705,0.48147,0.56089,0.36642,1.38174,1.67974,1.5727,0.00111689,0.00111689,0.00111689
22,53.8581,0.91857,1.14089,1.25463,0.6891,0.56618,0.60621,0.4129,1.1924,1.52672,1.47929,0.00108938,0.00108938,0.00108938
23,55.9953,0.90538,1.14747,1.23877,0.64119,0.56536,0.56024,0.35759,1.24096,1.61285,1.47418,0.00106188,0.00106188,0.00106188
24,58.0939,0.90617,1.17301,1.2409,0.62773,0.4711,0.52665,0.305,1.30406,1.66489,1.59372,0.00103437,0.00103437,0.00103437
25,60.2686,0.87688,1.06212,1.20862,0.81624,0.57996,0.65776,0.43412,1.16252,1.4989,1.47315,0.00100687,0.00100687,0.00100687
26,62.4552,0.86904,1.02165,1.21113,0.85627,0.64812,0.71682,0.5111,1.08214,1.31809,1.34919,0.000979362,0.000979362,0.000979362
27,64.6733,0.85213,1.05916,1.20222,0.67706,0.53301,0.59598,0.4099,1.19044,1.61703,1.45524,0.000951857,0.000951857,0.000951857
28,66.7878,0.87516,1.08616,1.21908,0.65294,0.58369,0.63433,0.40179,1.26577,1.71532,1.54248,0.000924352,0.000924352,0.000924352
29,68.9181,0.81773,0.97651,1.16866,0.84317,0.59316,0.68867,0.50664,1.16262,1.3984,1.45694,0.000896846,0.000896846,0.000896846
30,71.0526,0.86576,1.04108,1.19059,0.81541,0.62138,0.69173,0.47993,1.12521,1.47844,1.4149,0.00086934,0.00086934,0.00086934
31,73.1525,0.78231,0.90534,1.15608,0.85072,0.64923,0.70991,0.49185,1.12824,1.33541,1.40881,0.000841835,0.000841835,0.000841835
32,75.2063,0.78668,0.91775,1.13987,0.85741,0.62124,0.69885,0.49855,1.11235,1.3474,1.40175,0.000814329,0.000814329,0.000814329
33,77.3449,0.77791,0.9297,1.14326,0.84037,0.66255,0.74493,0.5118,1.09463,1.3114,1.35951,0.000786824,0.000786824,0.000786824
34,79.4279,0.77509,0.8755,1.14554,0.79879,0.68166,0.72607,0.49687,1.06318,1.33415,1.34378,0.000759318,0.000759318,0.000759318
35,81.5384,0.74273,0.8919,1.13856,0.94253,0.59922,0.71889,0.50361,1.0758,1.3061,1.32278,0.000731813,0.000731813,0.000731813
36,83.6416,0.76127,0.86902,1.14264,0.82937,0.6888,0.73027,0.52775,1.06038,1.38028,1.33614,0.000704307,0.000704307,0.000704307
37,85.7912,0.74705,0.86823,1.1295,0.83959,0.58457,0.72198,0.51786,1.08847,1.35409,1.35203,0.000676802,0.000676802,0.000676802
38,87.9031,0.75404,0.84741,1.12386,0.9396,0.53448,0.70309,0.48583,1.13128,1.3632,1.39439,0.000649297,0.000649297,0.000649297
39,90.0607,0.75666,0.84468,1.11803,0.91309,0.62705,0.72919,0.5204,1.08928,1.32422,1.33109,0.000621791,0.000621791,0.000621791
40,92.1504,0.7028,0.82342,1.09365,0.86532,0.61332,0.71223,0.52291,1.07371,1.25404,1.34168,0.000594286,0.000594286,0.000594286
41,94.2556,0.69063,0.77839,1.08586,0.77117,0.62761,0.70331,0.5025,1.01702,1.35416,1.34064,0.00056678,0.00056678,0.00056678
42,96.4648,0.69491,0.77168,1.10299,0.76184,0.69595,0.72722,0.55945,0.93042,1.17105,1.27618,0.000539275,0.000539275,0.000539275
43,98.6547,0.69624,0.77716,1.09841,0.84437,0.70309,0.74585,0.55358,0.98371,1.27986,1.27219,0.000511769,0.000511769,0.000511769
44,100.767,0.67769,0.75126,1.07742,0.90054,0.67308,0.75179,0.54536,0.98822,1.18897,1.28729,0.000484263,0.000484263,0.000484263
45,102.901,0.65225,0.76098,1.06061,0.79144,0.72821,0.76822,0.56949,0.94561,1.08777,1.2787,0.000456758,0.000456758,0.000456758
46,105.054,0.68399,0.74871,1.08598,0.83297,0.69922,0.76343,0.56398,0.9182,1.03129,1.25028,0.000429253,0.000429253,0.000429253
47,107.193,0.61822,0.70169,1.0622,0.9079,0.66892,0.76802,0.56553,0.95372,1.07044,1.25909,0.000401747,0.000401747,0.000401747
48,109.293,0.66318,0.71801,1.05973,0.87506,0.67588,0.76739,0.55849,0.93077,1.09386,1.26248,0.000374242,0.000374242,0.000374242
49,111.397,0.63837,0.7016,1.05256,0.84376,0.69543,0.76173,0.56211,0.95777,1.02296,1.28865,0.000346736,0.000346736,0.000346736
50,113.534,0.61963,0.68224,1.04597,0.75223,0.69595,0.74576,0.54786,0.97714,1.08701,1.28959,0.000319231,0.000319231,0.000319231
51,121.345,0.62024,0.75518,1.04042,0.90977,0.67606,0.7552,0.55858,0.96617,1.08361,1.29994,0.000291725,0.000291725,0.000291725
52,123.382,0.5671,0.69318,1.0073,0.89172,0.64826,0.74099,0.55469,0.97418,1.20495,1.31439,0.00026422,0.00026422,0.00026422
53,125.448,0.5656,0.63998,1.01875,0.86985,0.68732,0.75072,0.56734,0.9524,1.09622,1.31809,0.000236714,0.000236714,0.000236714
54,127.497,0.54765,0.59081,0.97308,0.89524,0.72297,0.75756,0.56732,0.96021,1.07659,1.31934,0.000209209,0.000209209,0.000209209
55,129.534,0.53221,0.5785,0.96861,0.82861,0.72375,0.76056,0.57204,0.95907,1.07069,1.31859,0.000181703,0.000181703,0.000181703
56,131.676,0.5316,0.57487,0.99336,0.85092,0.73612,0.76366,0.5803,0.94195,1.06868,1.29657,0.000154198,0.000154198,0.000154198
57,133.813,0.50139,0.56508,0.95576,0.90776,0.72705,0.76646,0.58163,0.90368,0.99579,1.26948,0.000126692,0.000126692,0.000126692
58,135.901,0.50047,0.54678,0.94513,0.87058,0.73955,0.76722,0.58562,0.90236,0.97547,1.27157,9.91865e-05,9.91865e-05,9.91865e-05
59,137.963,0.49873,0.5399,0.97602,0.87263,0.7444,0.77099,0.5902,0.90721,0.97676,1.27478,7.1681e-05,7.1681e-05,7.1681e-05
60,140.011,0.49152,0.54518,0.97302,0.90006,0.7444,0.77512,0.59613,0.90278,0.97836,1.27698,4.41755e-05,4.41755e-05,4.41755e-05
