epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.127,0.97204,1.69435,1.33052,0.78297,0.3354,0.46431,0.21383,1.83385,3.58498,2.07181,6.44444e-05,6.44444e-05,0.0678422
2,19.3053,0.88523,1.58607,1.25964,0.88671,0.61674,0.71193,0.53556,0.90149,2.10107,1.24926,0.00013103,0.00013103,0.0345755
3,22.5777,0.83794,1.46453,1.24077,0.85533,0.66328,0.75804,0.5834,0.87541,1.62684,1.22476,0.00019729,0.00019729,0.0013084
4,25.8487,0.76949,1.412,1.16174,0.85474,0.68392,0.75995,0.59675,0.85244,1.614,1.18578,0.000198892,0.000198892,0.000198892
5,29.1389,0.80721,1.38452,1.18984,0.87728,0.68392,0.7701,0.62132,0.82742,1.48012,1.15362,0.000198033,0.000198033,0.000198033
6,32.4758,0.78762,1.42087,1.17744,0.80377,0.69692,0.76647,0.61657,0.81771,1.45227,1.14635,0.000196933,0.000196933,0.000196933
7,35.7238,0.73945,1.35541,1.15216,0.81775,0.68827,0.76199,0.60999,0.79235,1.46015,1.1326,0.000195595,0.000195595,0.000195595
8,39.1457,0.71197,1.25671,1.11997,0.92173,0.64766,0.77266,0.61914,0.81248,1.39558,1.16358,0.000194022,0.000194022,0.000194022
9,42.4028,0.69475,1.10947,1.11857,0.90714,0.67088,0.77758,0.6209,0.80055,1.3449,1.13259,0.000192219,0.000192219,0.000192219
10,45.7297,0.69461,1.16235,1.10757,0.90509,0.66579,0.7758,0.62373,0.83404,1.40153,1.16721,0.000190191,0.000190191,0.000190191
11,49.0964,0.70027,1.16436,1.10557,0.85591,0.69521,0.77097,0.62518,0.82938,1.38578,1.18263,0.000187942,0.000187942,0.000187942
12,52.3952,0.68684,1.11517,1.09818,0.87509,0.69262,0.77238,0.62255,0.8108,1.38257,1.16566,0.00018548,0.00018548,0.00018548
