epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,55.749,0.67127,1.10047,1.08305,0.9206,0.66505,0.77253,0.62861,0.79273,1.33376,1.14226,0.000182812,0.000182812,0.000182812
14,59.0227,0.66378,1.06148,1.0664,0.88398,0.68852,0.76912,0.62132,0.81653,1.40291,1.16056,0.000179943,0.000179943,0.000179943
15,62.2494,0.6602,1.08028,1.08137,0.90265,0.65178,0.76702,0.61941,0.81317,1.42117,1.13738,0.000176883,0.000176883,0.000176883
16,65.4917,0.69193,1.12289,1.08236,0.93286,0.65636,0.77573,0.61522,0.80557,1.37403,1.12826,0.00017364,0.00017364,0.00017364
17,68.825,0.63016,0.97097,1.03909,0.79567,0.73133,0.77923,0.63438,0.78313,1.3343,1.12494,0.000170222,0.000170222,0.000170222
18,72.0595,0.63885,0.99487,1.05881,0.90464,0.6601,0.76587,0.62374,0.80503,1.33813,1.13853,0.000166639,0.000166639,0.000166639
19,75.2817,0.58753,0.90409,1.01809,0.80798,0.72379,0.76597,0.62017,0.79372,1.35589,1.13478,0.000162901,0.000162901,0.000162901
20,78.5082,0.59632,0.95669,1.02602,0.87857,0.677,0.75866,0.61051,0.82713,1.44174,1.17083,0.000159018,0.000159018,0.000159018
21,81.7425,0.61357,0.92192,1.0482,0.88912,0.66653,0.76372,0.6171,0.80889,1.39291,1.16307,0.000155,0.000155,0.000155
22,84.9591,0.56497,0.92039,1.00882,0.89209,0.65629,0.76371,0.61853,0.80631,1.38418,1.15581,0.000150859,0.000150859,0.000150859
23,88.166,0.59731,0.92601,1.03928,0.88782,0.67736,0.76013,0.61624,0.79621,1.3907,1.14028,0.000146606,0.000146606,0.000146606
24,91.4094,0.56808,0.8717,1.01935,0.84334,0.70485,0.76724,0.62435,0.80757,1.39167,1.14761,0.000142253,0.000142253,0.000142253
25,94.6278,0.56211,0.82677,1.0047,0.83145,0.72018,0.7784,0.6392,0.80038,1.36768,1.14235,0.000137812,0.000137812,0.000137812
26,97.9848,0.58409,0.87809,1.00936,0.91067,0.65636,0.77759,0.6396,0.78637,1.34642,1.12633,0.000133294,0.000133294,0.000133294
27,101.213,0.58414,0.81948,1.00559,0.9475,0.64232,0.77721,0.63657,0.79059,1.35764,1.12669,0.000128712,0.000128712,0.000128712
28,104.441,0.5183,0.82215,0.98682,0.82118,0.70607,0.76994,0.62525,0.78099,1.35863,1.12314,0.000124079,0.000124079,0.000124079
29,107.669,0.56085,0.82048,1.00811,0.82763,0.69262,0.76975,0.62921,0.78105,1.34443,1.12521,0.000119408,0.000119408,0.000119408
30,110.932,0.54549,0.79512,0.98706,0.91003,0.6644,0.77882,0.63962,0.75771,1.32332,1.11449,0.00011471,0.00011471,0.00011471
31,114.168,0.59174,0.89255,1.01465,0.90366,0.66353,0.78054,0.64036,0.76611,1.34792,1.11708,0.00011,0.00011,0.00011
32,117.418,0.56859,0.83749,0.99954,0.84243,0.70159,0.77996,0.63232,0.80203,1.39456,1.14671,0.00010529,0.00010529,0.00010529
33,120.645,0.54024,0.82875,0.99127,0.83878,0.68201,0.77368,0.62609,0.81655,1.45132,1.16622,0.000100592,0.000100592,0.000100592
34,124.128,0.51107,0.78009,0.98203,0.91002,0.64653,0.77373,0.62607,0.80297,1.43436,1.16124,9.59209e-05,9.59209e-05,9.59209e-05
35,127.381,0.54908,0.80772,0.97912,0.9137,0.64922,0.77408,0.6316,0.77717,1.37375,1.1467,9.12879e-05,9.12879e-05,9.12879e-05
36,130.614,0.5407,0.76491,0.98311,0.93516,0.6437,0.7714,0.63108,0.77638,1.40257,1.14832,8.67063e-05,8.67063e-05,8.67063e-05
37,133.829,0.52984,0.74649,0.98417,0.91661,0.65275,0.76517,0.62688,0.77984,1.40555,1.15341,8.21885e-05,8.21885e-05,8.21885e-05
38,137.081,0.54119,0.77101,0.98851,0.91353,0.65402,0.7669,0.62769,0.77308,1.39952,1.14869,7.77469e-05,7.77469e-05,7.77469e-05
39,140.382,0.52219,0.75961,0.98909,0.87925,0.66955,0.76682,0.62104,0.77311,1.39399,1.14856,7.33937e-05,7.33937e-05,7.33937e-05
40,143.632,0.51333,0.76793,0.97472,0.91254,0.65828,0.76961,0.62963,0.77557,1.41632,1.14954,6.91409e-05,6.91409e-05,6.91409e-05
41,146.881,0.52945,0.75972,0.98075,0.90496,0.65204,0.77197,0.63629,0.76502,1.38976,1.14702,6.5e-05,6.5e-05,6.5e-05
42,150.188,0.48711,0.71902,0.95994,0.85875,0.674,0.77099,0.63283,0.75523,1.38869,1.14085,6.09825e-05,6.09825e-05,6.09825e-05
43,153.68,0.54306,0.77251,0.98329,0.91694,0.64962,0.77532,0.63212,0.75497,1.36932,1.14042,5.70993e-05,5.70993e-05,5.70993e-05
44,157.369,0.51553,0.74937,0.97313,0.90218,0.66795,0.77745,0.6277,0.7661,1.35217,1.14813,5.33612e-05,5.33612e-05,5.33612e-05
45,160.61,0.48843,0.70353,0.95693,0.92302,0.6571,0.77731,0.62446,0.77808,1.37869,1.15821,4.97782e-05,4.97782e-05,4.97782e-05
46,163.864,0.50768,0.72336,0.96232,0.8986,0.67331,0.77971,0.62542,0.77251,1.35736,1.15743,4.63604e-05,4.63604e-05,4.63604e-05
47,167.106,0.5159,0.73243,0.97587,0.93365,0.6571,0.77727,0.62619,0.76908,1.36983,1.15258,4.3117e-05,4.3117e-05,4.3117e-05
48,170.375,0.51857,0.73322,0.97773,0.92649,0.66079,0.77489,0.6353,0.75513,1.37644,1.13671,4.00569e-05,4.00569e-05,4.00569e-05
49,173.607,0.47607,0.66417,0.95243,0.88437,0.67884,0.7749,0.63467,0.75847,1.38984,1.13523,3.71885e-05,3.71885e-05,3.71885e-05
50,176.848,0.51425,0.72952,0.95614,0.92311,0.66579,0.77514,0.64145,0.75327,1.38388,1.12811,3.45196e-05,3.45196e-05,3.45196e-05
51,180.168,0.51057,0.7087,0.96005,0.92738,0.66579,0.77606,0.63614,0.74616,1.37975,1.11773,3.20577e-05,3.20577e-05,3.20577e-05
52,183.388,0.51369,0.72807,0.97474,0.93017,0.66579,0.77585,0.63666,0.74178,1.36723,1.11768,2.98094e-05,2.98094e-05,2.98094e-05
53,192.386,0.44403,0.60435,0.91708,0.92965,0.66579,0.77553,0.63924,0.73915,1.35873,1.12096,2.77809e-05,2.77809e-05,2.77809e-05
54,195.626,0.43684,0.58823,0.91932,0.93275,0.65858,0.77482,0.63587,0.73424,1.34765,1.12259,2.59778e-05,2.59778e-05,2.59778e-05
55,198.911,0.44787,0.59904,0.92287,0.93737,0.66144,0.77612,0.63698,0.7413,1.34629,1.13107,2.44049e-05,2.44049e-05,2.44049e-05
56,202.148,0.45713,0.59642,0.92952,0.93208,0.66144,0.77322,0.63786,0.74826,1.34511,1.13868,2.30667e-05,2.30667e-05,2.30667e-05
57,205.382,0.44119,0.60567,0.92527,0.92164,0.66144,0.77287,0.63533,0.74814,1.33674,1.14092,2.19667e-05,2.19667e-05,2.19667e-05
58,208.645,0.44907,0.58294,0.91718,0.91869,0.66308,0.77226,0.63537,0.75915,1.34698,1.14751,2.1108e-05,2.1108e-05,2.1108e-05
59,212.043,0.43228,0.59836,0.92165,0.88816,0.67449,0.77221,0.63541,0.76207,1.36187,1.14726,2.0493e-05,2.0493e-05,2.0493e-05
60,215.301,0.42629,0.57462,0.91284,0.92683,0.66311,0.774,0.63548,0.76061,1.35762,1.1449,2.01233e-05,2.01233e-05,2.01233e-05
